Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-0.027148457,999.0,4.3233335432079105,4.3233335432079105,1.0
20000,1.4189383,-0.07309043,999.0,4.429200163483619,4.429200163483619,1.0
30000,1.4192367,0.07969604,999.0,4.66080020070076,4.66080020070076,1.0
40000,1.4192702,0.13125876,999.0,4.724400198459625,4.724400198459625,1.0
50000,1.4199855,0.12020318,999.0,4.609600156545639,4.609600156545639,1.0
60000,1.4201012,0.19166581,999.0,3.3410002067685127,3.3410002067685127,1.0
70000,1.418345,0.20694737,999.0,4.779335206747055,4.779335206747055,1.0
80000,1.4178765,0.1865708,999.0,2.7837604537606238,2.7837604537606238,1.0
90000,1.4156443,0.17851377,999.0,2.3912002027034758,2.3912002027034758,1.0
100000,1.4148165,0.18844497,999.0,3.3208001777529716,3.3208001777529716,1.0
110000,1.4148117,0.23451498,999.0,3.127200210094452,3.127200210094452,1.0
120000,1.4148197,0.25867993,999.0,4.711200144886971,4.711200144886971,1.0
130000,1.414942,0.27838847,999.0,4.489800205826759,4.489800205826759,1.0
140000,1.4150163,0.28243536,999.0,4.661600169539452,4.661600169539452,1.0
150000,1.4143379,0.29480082,999.0,4.495800168812275,4.495800168812275,1.0
160000,1.4137479,0.3262456,999.0,4.458200174570083,4.458200174570083,1.0
170000,1.4134444,0.31057954,999.0,4.684859579801559,4.684859579801559,1.0
180000,1.4131247,0.30579957,999.0,4.249114863574505,4.249114863574505,1.0
190000,1.4127043,0.33347386,999.0,4.696009093523026,4.696009093523026,1.0
200000,1.4121169,0.330589,999.0,4.671400201320648,4.671400201320648,1.0
210000,1.4113182,0.34492612,999.0,4.787800151109695,4.787800151109695,1.0
220000,1.4098699,0.36032224,999.0,4.9468514114618305,4.9468514114618305,1.0
230000,1.4092115,0.35736057,999.0,4.617800179123878,4.617800179123878,1.0
240000,1.4076341,0.35139793,999.0,4.7429242268204685,4.7429242268204685,1.0
250000,1.4073753,0.3809884,999.0,4.670400238037109,4.670400238037109,1.0
260000,1.4064999,0.38094354,999.0,4.515000218153,4.515000218153,1.0
270000,1.4063878,0.375727,999.0,5.00397989153862,5.00397989153862,1.0
280000,1.4058228,0.38583893,999.0,4.749000206589699,4.749000206589699,1.0
290000,1.4058311,0.3861085,999.0,4.82545331120491,4.82545331120491,1.0
300000,1.4059142,0.38957885,999.0,4.613400167226791,4.613400167226791,1.0
310000,1.4058641,0.4078157,999.0,4.581621450185776,4.581621450185776,1.0
320000,1.40444,0.40307474,999.0,4.691000208258629,4.691000208258629,1.0
330000,1.40444,0.39627594,999.0,5.177525028586388,5.177525028586388,1.0
340000,1.4028244,0.41305748,999.0,4.63960018157959,4.63960018157959,1.0
350000,1.4027969,0.41769773,999.0,4.636742287874222,4.636742287874222,1.0
360000,1.4013112,0.4196871,999.0,4.703600183129311,4.703600183129311,1.0
370000,1.4011822,0.4094642,999.0,4.705800211429596,4.705800211429596,1.0
380000,1.3992506,0.42565185,999.0,4.861955255270004,4.861955255270004,1.0
390000,1.3989233,0.4264769,999.0,4.910632744431496,4.910632744431496,1.0
400000,1.3974361,0.4247938,999.0,4.860301926732063,4.860301926732063,1.0
410000,1.3970395,0.4253053,999.0,5.136155641078949,5.136155641078949,1.0
420000,1.3956407,0.4287588,999.0,5.025738206505776,5.025738206505776,1.0
430000,1.395113,0.434141,999.0,4.954197466373444,4.954197466373444,1.0
440000,1.3938305,0.43764573,999.0,5.108991354703903,5.108991354703903,1.0
450000,1.393186,0.43747872,999.0,5.203207013010979,5.203207013010979,1.0
460000,1.392186,0.45158276,999.0,5.36465308368206,5.36465308368206,1.0
470000,1.3915157,0.4392994,999.0,4.694400185346604,4.694400185346604,1.0
480000,1.3908308,0.44697547,999.0,5.0323325246572495,5.0323325246572495,1.0
490000,1.390241,0.4608766,999.0,5.0668233066797255,5.0668233066797255,1.0
500000,1.3889713,0.47264832,999.0,4.9569230556488035,4.9569230556488035,1.0
510000,1.3876145,0.46065903,999.0,5.451394653320312,5.451394653320312,1.0
520000,1.3873079,0.4612258,999.0,4.619529929757118,4.619529929757118,1.0
530000,1.3868942,0.4711849,999.0,5.656357979774475,5.656357979774475,1.0
540000,1.3865502,0.49948508,999.0,5.722526320815087,5.722526320815087,1.0
550000,1.3859272,0.5063226,999.0,5.454597654938698,5.454597654938698,1.0
560000,1.3855301,0.47218877,999.0,5.167464688420296,5.167464688420296,1.0
570000,1.3845712,0.52315456,999.0,6.154056173563004,6.154056173563004,1.0
580000,1.384177,0.51971686,999.0,5.89828505218029,5.89828505218029,1.0
590000,1.3828443,0.479855,999.0,5.072734236717224,5.072734236717224,1.0
600000,1.3823463,0.5415705,999.0,5.9895956158638,5.9895956158638,1.0
610000,1.3798047,0.4979619,999.0,5.91146821975708,5.91146821975708,1.0
620000,1.3796176,0.53301775,999.0,6.928403821587563,6.928403821587563,1.0
630000,1.3779525,0.57345146,999.0,7.494690972566604,7.494690972566604,1.0
640000,1.3778733,0.5781018,999.0,7.532482901215554,7.532482901215554,1.0
650000,1.3756033,0.6989474,999.0,9.878215122222901,9.878215122222901,1.0
660000,1.3756033,0.6911359,999.0,8.858922979235649,8.858922979235649,1.0
670000,1.3731481,0.77827275,999.0,10.83318389058113,10.83318389058113,1.0
680000,1.3731035,0.7355957,999.0,9.074886399507523,9.074886399507523,1.0
690000,1.3704801,0.8980902,999.0,12.35425471663475,12.35425471663475,1.0
700000,1.3702487,0.9274759,999.0,12.899391555786133,12.899391555786133,1.0
710000,1.3690666,0.8696356,999.0,12.704013165831565,12.704013165831565,1.0
720000,1.368873,0.9346005,999.0,10.160191309452056,10.160191309452056,1.0
730000,1.3675016,1.0822672,999.0,14.04142858684063,14.04142858684063,1.0
740000,1.3671359,1.0205166,999.0,13.159916603565216,13.159916603565216,1.0
750000,1.3657482,1.1431497,999.0,16.07721386551857,16.07721386551857,1.0
760000,1.3652273,1.0458767,999.0,12.110587176680564,12.110587176680564,1.0
770000,1.3627061,1.1789573,999.0,15.34121119081974,15.34121119081974,1.0
780000,1.3614336,1.1117681,999.0,13.489413371682167,13.489413371682167,1.0
790000,1.3605161,1.2926999,999.0,19.60678485631943,19.60678485631943,1.0
800000,1.3599116,1.2038162,999.0,14.159890514612197,14.159890514612197,1.0
810000,1.3583512,1.2549971,999.0,17.214324629306795,17.214324629306795,1.0
820000,1.3569891,1.3113997,999.0,18.9128317207098,18.9128317207098,1.0
830000,1.3556966,1.3202623,999.0,18.512577232718467,18.512577232718467,1.0
840000,1.3543359,1.4196651,999.0,18.092604634165763,18.092604634165763,1.0
850000,1.352963,1.4438403,999.0,20.932155853509904,20.932155853509904,1.0
860000,1.351063,1.5850389,999.0,22.59085340499878,22.59085340499878,1.0
870000,1.3501477,1.5413202,999.0,19.87380805313587,19.87380805313587,1.0
880000,1.3485215,1.6718239,999.0,23.755994701385497,23.755994701385497,1.0
890000,1.3477894,1.6698786,999.0,20.992531287670136,20.992531287670136,1.0
900000,1.3460146,1.8332876,999.0,25.606866735219956,25.606866735219956,1.0
910000,1.345382,1.7566439,999.0,21.2354827016592,21.2354827016592,1.0
920000,1.3432337,1.949879,999.0,23.188574293255805,23.188574293255805,1.0
930000,1.3429018,1.9281454,999.0,21.81821927726269,21.81821927726269,1.0
940000,1.3411787,1.8742863,999.0,23.685400372743608,23.685400372743608,1.0
950000,1.340993,1.9890432,999.0,27.293063390254975,27.293063390254975,1.0
960000,1.3393681,1.9998195,999.0,25.635648572444914,25.635648572444914,1.0
970000,1.3393055,1.997757,999.0,24.43073856830597,24.43073856830597,1.0
980000,1.3377501,1.976965,999.0,23.51271380186081,23.51271380186081,1.0
990000,1.3377501,2.0285714,999.0,24.205668035149575,24.205668035149575,1.0
1000000,1.3351071,2.1787229,999.0,26.78548187315464,26.78548187315464,1.0
1010000,1.3350614,2.2293859,999.0,27.79091373383999,27.79091373383999,1.0
