Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,1.4189383,-0.039467122,999.0,0.14244444611378843,0.14244444611378843,1.0
20000,1.4189383,-0.023210725,999.0,0.1516000006115064,0.1516000006115064,1.0
30000,1.4194359,0.029293275,999.0,-0.25299998656846584,-0.25299998656846584,1.0
40000,1.4194711,0.045944862,999.0,0.2826997854281217,0.2826997854281217,1.0
50000,1.4185026,0.028578704,999.0,-1.3472000065725296,-1.3472000065725296,1.0
60000,1.4183348,0.0066479696,999.0,-2.1842982275178655,-2.1842982275178655,1.0
70000,1.4174439,0.019950204,999.0,-1.0629999708617106,-1.0629999708617106,1.0
80000,1.4172114,0.037747294,999.0,0.15340000174473972,0.15340000174473972,1.0
90000,1.417373,0.018119361,999.0,-0.08392128653358669,-0.08392128653358669,1.0
100000,1.4174407,0.017056083,999.0,-0.2397999939741567,-0.2397999939741567,1.0
110000,1.4171059,0.031030845,999.0,0.16340000068303198,0.16340000068303198,1.0
120000,1.4169306,0.03572414,999.0,-0.34980000951327384,-0.34980000951327384,1.0
130000,1.4173987,0.041698046,999.0,0.16579999995883554,0.16579999995883554,1.0
140000,1.4177214,0.05292499,999.0,0.15620000034105033,0.15620000034105033,1.0
150000,1.41857,0.028167475,999.0,-0.4895999874453992,-0.4895999874453992,1.0
160000,1.4192913,0.03903384,999.0,0.15400000081863255,0.15400000081863255,1.0
170000,1.4193225,0.035591096,999.0,0.1048000003444031,0.1048000003444031,1.0
180000,1.4193529,0.033224683,999.0,0.14779999959282578,0.14779999959282578,1.0
190000,1.4193935,0.024623599,999.0,0.001399997784756124,0.001399997784756124,1.0
200000,1.4194502,0.020570207,999.0,0.15040000195149333,0.15040000195149333,1.0
210000,1.4196489,0.034326237,999.0,-0.2989999808371067,-0.2989999808371067,1.0
220000,1.4200116,0.02712189,999.0,0.15740000151563435,0.15740000151563435,1.0
230000,1.4197986,0.036451,999.0,0.1498000015737489,0.1498000015737489,1.0
240000,1.4192652,0.036852725,999.0,0.13800000080373137,0.13800000080373137,1.0
